Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,1312,,,,,,URBAN,,,,Visit 1,,,1312,Yes,,67,Female,No,Yes,Secondary education,,Cosmetic store,4,7,1,Receive money from migrant family members (Remittances),,Yes,17,Other,,Access to finance,,Technical training,Single proprietorship,Separate from resident,Rent,Small room of pucca construction < 100 sqmts,Computer,Yes,3,3,0,,126,25,Between 26 - 50% customers are known,"No, never",Don?t know,1046,Deposit it in Co-operative,,Strongly agree,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,I keep my accounts by remembering,Write it to my account book,Yes,No,Large store in nearby haaat,13,Cash,Cash & Credit both,Credit,Credit,Cash & Credit both,Cash,Cash,4-6 days a week,Rarely,No,Yes,5,23352,From friends,Disagree somewhat,Disagree somewhat,2,1,1,Yes,Smartphone,Send/Receive Email,"Phone runs out of storage (space for saving picture, apps and other information)",No,Rarely,2-3 times a month,Less than once a month,Cash,I always pay on time,No trust on this service,,7,17,3,2,5,0,1,Business account,In the past 90 days,Uttara bank,No,Other,37,46,I have to pay tax,No,Yes,,,Others,Merchant,,,In the past 30 days,No,2014,Somewhat increased,Once a month,Difficult,It's difficult to get cash out from my balance,No,Do not know how to make payment through mobile phone,Yes,Yes,41-50%,31-40%,51-60%,,1383,4012,1323,It is safer than cash money,,"Yes, sometimes","No, never","Yes, frequently",Rarely,"Yes, frequently","No, never","No, never","No, never",,Many customers do not think that it is convenient or useful,No,Co-opeartive,One,Yes,Yes,None,Mud brick or C.I. sheet/wood,No,None,One,Yes,Yes
,1313,,,,,,URBAN,,,,Visit 2,,,1313,Yes,,40,Male,Yes,No,Higher Secondary Education,,Conrfectionery,4,5,2,Receive money from migrant family members (Remittances),,Yes,3,Other,,Hard to say,,"Accounting, taxation, bookkeeping",Single proprietorship,Attached with residence,Other,Small room of pucca construction < 100 sqmts,Internet connection,No,2,2,3,,271,24,Don't know,Rarely,0%,2151,Deposit it in Co-operative,,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Strongly disagree,Strongly disagree,Manually enter in the computer,I keep my accounts by remembering,No,No,Wholesaler in wholesale market,10,Credit,Cash,Cash,Cash,Cash & Credit both,Cash,Cash,2-3 days a week,"No, never",No,Yes,3,51389,"From a bank, post office or microfinance institution",Strongly disagree,Agree somewhat,3,1,2,No,,Use Facebook or other social networking site,Ran out of balance (airtime),No,"Yes, frequently",Less than once a month,Once a month,Other,Sometimes have to ask for more time or for a loan,No trust on this service,,10,25,5,5,0,5,0,Business account,In the past 90 days,Bank Asia ltd.,Yes,Banks' website/online banking,5,12,There are no banks nearby my residence,Yes,Yes,,,MCash,Merchant,,,More than 90 days ago,No,2017,About the same,Daily,Somewhat easy,Many customers do not have a MFS account,No,Fear of hacking,No,Yes,11-20%,71-80%,51-60%,,666,3651,1181,It is safer than cash money,,"No, never","No, never",Rarely,Rarely,"No, never","Yes, sometimes","Yes, frequently","Yes, sometimes",,"Other, please specify",No,Others,Three or more,Yes,Yes,Two,Brick/cement,Yes,None,One,No,Yes
,1314,,,,,,RURAL,,,,Visit 1,,,1314,Yes,,46,Female,Yes,Yes,Not Formal Education,,Variety/General store,4,6,2,Pension,,Yes,12,Farming/agriculture,,Monitoring and inspections by regulatory bodies,,Finding and advise on equipment and technology,Partnership,Separate from resident,Other,Semi-permanent kiosk,Land phone line,Yes,2,2,2,,268,10,Between 26 - 50% customers are known,"No, never",31-40%,903,Keep it at store,,Strongly disagree,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Do not keep accounts daily,Manually enter in the computer,No,Yes,Wholesaler in wholesale market,8,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Cash,Cash,4-6 days a week,Rarely,No,Yes,3,8564,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,2,1,1,No,,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",No,"Yes, frequently",Once a week,Once a week,Other,Often have to ask for more time or for a loan,Other,,2,45,5,5,5,3,5,Business account,Yesterday,Jamuna bank,Yes,Other,22,40,I like to transact in cash,No,No,,,SureCash,Merchant,,,Yesterday,Yes,2014,Somewhat decreased,2-3 times a week,Difficult,Many customers do not have money in their MFS account,Yes,Supplier do not accept pyment through mobile payment system,Yes,Yes,Don?t know,Don?t know,71-80%,,1966,4016,1942,It is safer than cash money,,"Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",Rarely,"Yes, frequently","Yes, sometimes","Yes, frequently",,My phone or phone network is not working properly,No,Co-opeartive,Two,No members at age 6-to-12,Yes,One,Mud brick or C.I. sheet/wood,No,Two,Two,No,No
,1315,,,,,,URBAN,,,,Visit 2,,,1315,No,,67,Male,No,Yes,Secondary Vocational Training complete/ certificate complete,,Variety/General store,3,7,1,Work for someone else (Wage employment),,Yes,9,Other,,Access to finance,,"Accounting, taxation, bookkeeping",Partnership,Separate from resident,Own,Small room of pucca construction < 100 sqmts,Land phone line,Yes,1,0,2,,178,99,Between 26 - 50% customers are known,"Yes, regularly",31-40%,1957,Don?t know/refuse,,Strongly disagree,Disagree somewhat,Disagree somewhat,Strongly disagree,Strongly disagree,Disagree somewhat,Do not keep accounts daily,I keep my accounts by remembering,No,No,Large store in same/nearby area,17,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,Cash,Credit,Everyday,"Yes, sometimes",Yes,No,1,94942,From a village Level savings Group,Disagree somewhat,Disagree somewhat,2,3,3,No,,Send/Receive Email,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,Once a week,Through my bank account,Sometimes have to ask for more time or for a loan,Other,,5,20,3,5,2,0,0,Personal account,Yesterday,Mutual Trust bank ltd.,Yes,Banks' website/online banking,39,44,I have to pay tax,No,No,,,Rocket (DBBL),Personal,,,Yesterday,Yes,2013,Somewhat increased,2-3 times a month,Difficult,Other,Yes,Others,No,No,1-10%,11-20%,61-70%,,1578,4924,869,It is convenient,,"No, never","Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, sometimes",Rarely,"Yes, frequently",,My phone or phone network is not working properly,No,Business association,None,No,No,None,"Hemp/hay/bamboo, or other",Yes,None,Two,Yes,Yes
,1316,,,,,,RURAL,,,,Visit 1,,,1316,Yes,,25,Male,Yes,Yes,Post-Graduate University,,Cosmetic store,2,8,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,15,Job/Paid employment,,Access to finance,,Technical training,Single proprietorship,Attached with residence,Own,Large room(s) of pucca construction >100 sqmts,Electronic Cash register,Yes,1,1,1,,176,83,Between 26 - 50% customers are known,"Yes, sometimes",51-60%,1286,Don't have any money left at the end of the day,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Strongly agree,Agree somewhat,Strongly disagree,Manually enter in the computer,Have a barcode scanner that automatically scans item and keeps accounts,No,No,Others,15,Credit,Cash & Credit both,Cash & Credit both,Credit,Cash & Credit both,Cash,Credit,4-6 days a week,Rarely,Yes,Yes,3,11766,"From a bank, post office or microfinance institution",Strongly disagree,Agree somewhat,2,1,3,No,,Use bKash mobile money transactions,Ran out of balance (airtime),No,"No, never",Once a month,Once a week,Mobile payment service,Sometimes have to ask for more time or for a loan,Fee is too high,,8,49,5,5,3,4,0,One account for both- personal and business,Yesterday,IFIC bank,Yes,Banks' website/online banking,20,24,I like to transact in cash,Yes,No,,,SureCash,Merchant,,,In the past 90 days,Yes,2014,Don?t know/refuse,Once a week,Somewhat difficult,It's difficult to get cash out from my balance,No,Supplier do not accept pyment through mobile payment system,No,Yes,61-70%,51-60%,0%,,1587,1546,288,Shorter lines/ customers have to wait less time,,Rarely,"No, never","No, never",Rarely,"Yes, sometimes","No, never",Rarely,"Yes, sometimes",,Many customers do not have a MFS account,No,Business association,None,No,Yes,Three or more,"Hemp/hay/bamboo, or other",No,Three or more,One,Yes,No
,1317,,,,,,URBAN,,,,Visit 2,,,1317,No,,34,Female,No,No,Madrasha Education,,Wholesale cum retail grocery shop,2,5,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,2,Job/Paid employment,,"Insufficient knowledge, information, business experience",,Finding and advise on equipment and technology,Single proprietorship,Separate from resident,Other,Permanent kiosk,Business Cellphone (separate from owner?s personal),Yes,0,2,1,,228,50,Between 76% - 100% customers are known,"Yes, sometimes",1-10%,1621,Keep it at store,,Disagree somewhat,Strongly agree,Strongly agree,Strongly disagree,Agree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,No,No,Directly from the company/manufacturer,18,Credit,Cash & Credit both,Credit,Credit,Credit,Credit,Cash,Everyday,"No, never",Yes,No,5,92163,From friends,Agree somewhat,Agree somewhat,3,1,2,No,,Transfer phone credit,"Phone runs out of storage (space for saving picture, apps and other information)",No,Rarely,2-3 times a month,2-3 times a month,Mobile payment service,Often have to ask for more time or for a loan,No trust on this service,,10,45,4,4,0,4,0,Business account,In the past 30 days,Mercentile bank ltd.,No,Banks' website/online banking,26,34,I have to pay tax,Yes,No,,,MYCash,Merchant,,,In the past 30 days,No,2013,About the same,Daily,Very easy,Customers do not have trust on MFS account,No,High charge,Yes,Yes,91-100%,11-20%,51-60%,,856,4806,1744,It helps the store?s marketing or attracts more customers,,Rarely,Rarely,Rarely,Rarely,"Yes, sometimes","Yes, sometimes","Yes, frequently","Yes, sometimes",,Customers do not have trust on MFS acccount,No,Co-opeartive,One,No members at age 6-to-12,Yes,Two,Brick/cement,Yes,None,Three or more,No,Yes
,1318,,,,,,RURAL,,,,Visit 1,,,1318,Yes,,34,Female,Yes,Yes,Others,,Other (Specify),3,7,2,Work for someone else (Wage employment),,Yes,16,Job/Paid employment,,"Gender, ethnic and other social norms or psychological issues",,"Accounting, taxation, bookkeeping",Partnership,Attached with residence,Rent,Kutcha shack,Computer,No,2,3,2,,223,84,Between 76% - 100% customers are known,"Yes, sometimes",81-90%,1561,Keep it at store,,Disagree somewhat,Strongly disagree,Agree somewhat,Disagree somewhat,Disagree somewhat,Strongly agree,I keep my accounts by remembering,Have a barcode scanner that automatically scans item and keeps accounts,Yes,Yes,Others,15,Cash,Credit,Credit,Credit,Cash & Credit both,Cash,Credit,Everyday,"Yes, sometimes",Yes,No,4,75276,From a village Level savings Group,Strongly disagree,Disagree somewhat,2,1,2,Yes,Smartphone,Use bKash mobile money transactions,Ran out of balance (airtime),Yes,"Yes, frequently",2-3 times a week,Less than once a month,Through my bank account,Sometimes have to ask for more time or for a loan,Transaction limit is too low,,4,20,3,3,2,1,1,Personal account,Yesterday,Bangladesh Krishi bank,No,Mobile app/mobile banking,47,26,I do not believe that my money will be safe in a bank,Yes,No,,,SureCash,Personal,,,Yesterday,No,2014,About the same,2-3 times a week,Somewhat easy,Other,No,Fear of hacking,Yes,No,1-10%,Don?t know,91-100%,,1623,4825,623,It is possible to pay remote payments through this,,"Yes, sometimes","Yes, frequently","Yes, frequently","No, never","No, never","No, never",Rarely,"Yes, sometimes",,I do not trust it,Yes,Others,None,No,No,Three or more,Mud brick or C.I. sheet/wood,Yes,One,Three or more,No,No
,1319,,,,,,RURAL,,,,Visit 1,,,1319,No,,43,Male,Yes,Yes,Primary Education,,Other (Specify),6,8,1,No Response,,No,20,Job/Paid employment,,"Gender, ethnic and other social norms or psychological issues",,Other please specify,Family business,Attached with residence,Rent,Semi-permanent kiosk,Electricity connection,Yes,0,2,2,,276,84,Don't know,Rarely,51-60%,969,Don?t know/refuse,,Strongly disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Do not keep accounts daily,Do not keep accounts daily,No,Yes,Wholesaler in wholesale market,14,Cash & Credit both,Credit,Credit,Credit,Credit,Cash,Cash & Credit both,4-6 days a week,"No, never",Yes,No,5,50217,"From a bank, post office or microfinance institution",Disagree somewhat,Agree somewhat,1,3,3,Yes,Feature/basic/camera phone,Checked phone credit balance,Network connectivity problem / poor mobile service,Yes,"Yes, sometimes",Less than once a month,Less than once a month,Cash,Other,Suppliers do not always have a mobile money account,,5,47,2,4,4,4,1,One account for both- personal and business,In the past 90 days,Mutual Trust bank ltd.,No,Mobile app/mobile banking,22,47,Others,No,No,,,Ucash,Merchant,,,In the past 7 days,Yes,2012,Don?t know/refuse,2-3 times a month,Somewhat easy,It takes too long for transaction /results to long lines,No,Others,No,Yes,41-50%,91-100%,21-30%,,966,3619,1349,It is free,,"No, never","Yes, sometimes",Rarely,Rarely,Rarely,"Yes, frequently","No, never","Yes, frequently",,It takes too long for transaction /results to long lines,Yes,Village level association (Informal),Two,No,No,Three or more,"Hemp/hay/bamboo, or other",No,None,One,No,Yes
,1320,,,,,,URBAN,,,,Visit 1,,,1320,No,,30,Male,No,No,Primary Education,,Other (Specify),3,5,4,Work for someone else (Wage employment),,No,2,Job/Paid employment,,"Insufficient knowledge, information, business experience",,Marketing,Partnership,Separate from resident,Other,Kutcha shack,Internet connection,Yes,0,1,1,,291,10,Between 51 - 75% customers are known,"Yes, sometimes",61-70%,2853,#VALUE!,,Strongly disagree,Disagree somewhat,Disagree somewhat,Strongly disagree,Agree somewhat,Disagree somewhat,Do not keep accounts daily,Do not keep accounts daily,Yes,Yes,Wholesaler in wholesale market,20,Cash,Cash & Credit both,Cash,Credit,Credit,Credit,Cash,Everyday,Rarely,No,No,3,,From a village Level savings Group,Disagree somewhat,Strongly disagree,3,1,2,No,,Use Facebook or other social networking site,Ran out of balance (airtime),No,"Yes, sometimes",Once a week,2-3 times a week,Mobile payment service,Sometimes have to ask for more time or for a loan,No trust on this service,,10,43,2,5,1,3,4,Business account,Yesterday,Uttara bank,Yes,Banks' website/online banking,60,50,I have to pay tax,No,Yes,,,Rocket (DBBL),Personal,,,In the past 90 days,Yes,2013,About the same,2-3 times a month,Very easy,It do not add any value to my business,No,Others,No,Yes,71-80%,81-90%,91-100%,,1666,3978,434,It is safer than cash money,,Rarely,"Yes, frequently",Rarely,"Yes, frequently","Yes, sometimes","No, never","Yes, frequently","Yes, frequently",,Many customers do not think that it is convenient or useful,No,Business association,One,No,Yes,One,Mud brick or C.I. sheet/wood,No,Three or more,Three or more,No,No
,1321,,,,,,URBAN,,,,Visit 2,,,1321,Yes,,48,Male,Yes,Yes,Secondary education,,Cosmetic store,4,8,2,Pension,,Yes,19,Other,,Tax rates and state fees,,Finding and advise on equipment and technology,Partnership,Attached with residence,Own,Semi-permanent kiosk,Electronic Cash register,Yes,3,1,0,,229,94,Don't know,"Yes, sometimes",1-10%,684,Deposit it in Co-operative,,Strongly agree,Disagree somewhat,Agree somewhat,Strongly agree,Strongly agree,Agree somewhat,Write it to my account book,Manually enter in the computer,Yes,Yes,Wholesaler in wholesale market,16,Cash & Credit both,Cash & Credit both,Credit,Cash,Cash,Cash & Credit both,Cash,Everyday,Rarely,No,No,3,,From a village Level savings Group,Strongly disagree,Disagree somewhat,1,3,2,No,,Send/Receive Email,Phone not working properly (other than connectivity issues),No,"Yes, frequently",2-3 times a month,Once a week,Other,Sometimes have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,3,48,5,1,4,0,2,Personal account,In the past 90 days,ShahjalalIslami bank ltd.,No,Banks' website/online banking,55,20,There are no banks nearby my residence,Yes,No,,,bKash,Merchant,,,More than 90 days ago,No,2017,Don?t know/refuse,2-3 times a month,Somewhat easy,I need cash money to run my business,No,Do not know how to make payment through mobile phone,No,No,1-10%,41-50%,71-80%,,572,3854,1486,It is safer than cash money,,"Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",Rarely,"Yes, frequently","No, never","No, never",,I do not trust it,Yes,Micro-credit group,Two,No,No,None,"Hemp/hay/bamboo, or other",Yes,Two,Two,Yes,Yes
,1322,,,,,,URBAN,,,,Visit 1,,,1322,No,,21,Male,Yes,No,University Degree,,Wholesale cum retail grocery shop,3,7,2,Receive money from migrant family members (Remittances),,Yes,9,Other,,"Insufficient knowledge, information, business experience",,"Accounting, taxation, bookkeeping",Partnership,Attached with residence,Other,Permanent kiosk,Business Cellphone (separate from owner?s personal),No,1,3,0,,186,86,Between 26 - 50% customers are known,"Yes, sometimes",41-50%,2738,Keep it at home/room,,Strongly disagree,Disagree somewhat,Strongly agree,Disagree somewhat,Strongly disagree,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Have a barcode scanner that automatically scans item and keeps accounts,No,No,Others,16,Cash,Cash,Cash & Credit both,Cash & Credit both,Credit,Cash & Credit both,Credit,4-6 days a week,"Yes, sometimes",No,Yes,4,32490,"From a bank, post office or microfinance institution",Agree somewhat,Strongly disagree,2,2,3,Yes,Feature/basic/camera phone,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,No,"Yes, frequently",Once a week,Once a month,Mobile payment service,Often have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,9,16,1,3,3,3,5,Personal account,In the past 7 days,City bank ltd.,Yes,Other,15,40,There are no banks nearby my residence,No,Yes,,,MYCash,Merchant,,,In the past 30 days,Yes,2014,Don?t know/refuse,2-3 times a month,Somewhat difficult,Many customers do not have money in their MFS account,No,High charge,Yes,Yes,1-10%,1-10%,51-60%,,1177,2941,1273,Shorter lines/ customers have to wait less time,,"Yes, sometimes","No, never","No, never","Yes, frequently","Yes, sometimes","No, never",Rarely,"No, never",,I do not trust it,No,Micro-credit group,None,No members at age 6-to-12,Yes,Three or more,Brick/cement,Yes,Three or more,One,No,Yes
,1323,,,,,,URBAN,,,,Visit 1,,,1323,No,,29,Male,Yes,Yes,Primary Education,,Conrfectionery,4,8,1,Pension,,No,8,Other,,Tax rates and state fees,,Marketing,Family business,Attached with residence,Own,Permanent kiosk,Land phone line,No,1,0,0,,146,95,Up to 25% customers are known,"Yes, regularly",0%,2440,Don't have any money left at the end of the day,,Agree somewhat,Strongly disagree,Strongly disagree,Strongly disagree,Agree somewhat,Agree somewhat,Write it to my account book,I keep my accounts by remembering,No,No,Large store in same/nearby area,17,Cash & Credit both,Cash,Cash & Credit both,Credit,Credit,Cash & Credit both,Cash & Credit both,4-6 days a week,"Yes, sometimes",No,No,1,,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,3,1,2,No,,Checked phone credit balance,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, frequently",Less than once a month,2-3 times a month,Through my bank account,Often have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,2,19,1,3,1,5,3,One account for both- personal and business,In the past 7 days,Standard Chartered bank,No,Banks' website/online banking,10,25,I have to pay tax,Yes,Yes,,,MYCash,Merchant,,,In the past 30 days,No,2013,Don?t know/refuse,2-3 times a week,Very easy,I do not trust it,No,Do not know how to make payment through mobile phone,Yes,No,21-30%,Don?t know,51-60%,,1674,1846,1866,It is possible to pay remote payments through this,,"Yes, frequently","No, never","Yes, frequently","Yes, frequently",Rarely,Rarely,"Yes, sometimes","Yes, frequently",,Many customers do not have a working cellphone,Yes,Micro-credit group,One,No members at age 6-to-12,Yes,Three or more,Brick/cement,Yes,None,One,Yes,Yes
